Cloud or On-Premise,Lead Source,Opportunity Owner,Stage,Close Date,Type,Amount,Company Country (CB),Company Industry (CB)
,,Sammy,Lost,3/31/2016,Upsell,1000,United States,Professional Services
,,Sammy,Lost,9/12/2018,Partnership,1000,Japan,Professional Services
,,Sammy,Lost,6/30/2016,Upsell,1000,United States,Professional Services
Cloud B,,Steve,Lost,6/14/2019,New,1000,United States,Professional Services
Cloud B,Web,Steve,Requalify,1/28/2022,New,1000,United States,Professional Services
,Partner,Steve,Lost,12/30/2016,Upsell,1000,Canada,Professional Services
,Partner,Steve,Lost,6/4/2018,Upsell,1000,Canada,Professional Services
,Partner,Steve,Lost,12/31/2016,Upsell,1000,Canada,Professional Services
Cloud B,Partner,Steve,Lost,10/31/2019,Upsell,1000,Canada,Professional Services
Cloud A,Web,Steve,Lost,11/11/2021,New,1000,United States,Professional Services
,Partner,Steve,Lost,2/28/2022,Upsell,1000,Canada,Professional Services
Cloud B,Partner,Steve,Won,12/30/2020,New,1000,United States,Professional Services
,,Steve,Lost,12/29/2017,Upsell,1000,United States,Professional Services
,Web,Steve,Lost,3/1/2021,New,1000,United Kingdom,Professional Services
Cloud B,,Steve,Lost,9/30/2019,New,1000,United States,Professional Services
,,Steve,Lost,12/15/2017,Upsell,1000,United States,Professional Services
Cloud B,Partner,Steve,Lost,4/1/2021,Upsell,1000,Canada,Professional Services
On-Premise,Web,Steve,Won,3/18/2021,New,1000,United States,Professional Services
,,Susans,Lost,9/15/2017,New,1000,United Kingdom,Professional Services
,,Susans,Lost,3/31/2016,Upsell,1000,United States,Professional Services
,,Susans,Lost,11/30/2018,New,1000,United States,Professional Services
,,Susans,Lost,9/15/2017,Upsell,1000,United States,Professional Services
On-Premise,,Susans,Lost,12/20/2018,New,1000,United States,Professional Services
,,Susans,Lost,3/31/2017,Upsell,1000,United States,Professional Services
,,Susans,Lost,12/31/2016,Upsell,1000,United States,Professional Services
,,Susans,Lost,12/31/2016,New,1000,United States,Professional Services
,,Susans,Lost,12/29/2017,Upsell,1000,United States,Professional Services
,,Susans,Lost,6/30/2016,Upsell,1000,United Kingdom,Professional Services
,,Susans,Lost,12/30/2016,Upsell,1000,United States,Professional Services
,Partner,Susans,Lost,6/30/2017,Upsell,1000,United States,Professional Services
,,Susans,Lost,12/15/2017,Upsell,1000,United States,Professional Services
,Partner,Susans,Lost,6/30/2017,Upsell,1000,India,Professional Services
,,Susans,Lost,7/16/2018,New,1000,United Kingdom,Professional Services
,,Susans,Lost,3/30/2017,Upsell,1000,United States,Professional Services
,,Susans,Lost,12/29/2017,New,1000,United States,Professional Services
,,Susans,Lost,3/30/2018,New,1000,United States,Professional Services
,,Susans,Lost,10/5/2018,New,1000,United States,Professional Services
,,Susans,Lost,4/27/2018,New,1000,United States,Professional Services
,,Susans,Lost,9/15/2017,Upsell,1000,United States,Professional Services
On-Premise,,Susans,Lost,11/17/2017,Upsell,1000,India,Professional Services
On-Premise,,Tom,Lost,12/21/2021,Renewal,1000,Russia,Professional Services
On-Premise,Event,Tom,Won,6/30/2020,New,1000,South Africa,Professional Services
On-Premise,,Tom,Won,11/2/2020,Renewal,1000,United States,Professional Services
On-Premise,Partner,Tom,Lost,9/30/2018,New,1000,United States,Professional Services
,Web,Tom,Requalify,12/1/2020,New,1000,Spain,Professional Services
On-Premise,Web,Tom,Lost,10/29/2020,New,1000,Albania,Professional Services
Cloud B,Web,Tom,Lost,2/25/2021,New,1000,Brazil,Professional Services
Cloud A,Web,Tom,Requalify,4/7/2021,New,1000,Israel,Professional Services
On-Premise,Web,Tom,Requalify,12/31/2021,New,1000,United States,Professional Services
Cloud B,Web,Tom,Requalify,12/18/2020,New,1000,United Kingdom,Professional Services
,Web,Tom,Requalify,4/2/2021,New,1000,United Kingdom,Professional Services
,,Tom,Lost,6/30/2017,New,1000,Peru,Professional Services
On-Premise,Event,Tom,Lost,12/31/2020,Renewal,1000,Denmark,Professional Services
,Web,Tom,Won,8/6/2021,Upsell,1000,South Africa,Professional Services
On-Premise,,Tom,Won,12/21/2020,New,1000,Russia,Professional Services
Cloud A,Partner,Tom,Won,3/4/2021,Renewal,1000,Belgium,Professional Services
On-Premise,Web,Alex,Lost,2/5/2020,Renewal,10000,India,Professional Services
On-Premise,Web,Alex,Proposal,2/5/2021,Renewal,10000,India,Professional Services
Cloud B,Web,Tom,Requalify,9/30/2020,New,10000,India,Professional Services
,Partner,Nancy,Proposal,3/31/2022,Upsell,20000,Canada,Professional Services
,Partner,Susans,Lost,5/11/2016,Upsell,20000,United Kingdom,Professional Services
Cloud B,Partner,Steve,Won,4/22/2020,Upsell,20000,Canada,Professional Services
Cloud B,Partner,Steve,Won,2/19/2021,Renewal,20000,Canada,Professional Services
Cloud B,Event,Larry,Proposal,6/25/2022,Renewal,20000,United States,Professional Services
Cloud B,,Steve,Won,5/13/2020,Renewal,20000,United States,Professional Services
,,Susans,Lost,2/28/2017,New,20000,United States,Professional Services
,,Susans,Lost,1/31/2017,New,20000,United States,Professional Services
,Web,Tom,Lost,9/30/2019,New,20000,United States,Professional Services
Cloud B,,Steve,Won,6/27/2019,New,20000,United States,Professional Services
Cloud B,Web,Tom,Lost,12/31/2019,New,40000,United States,Professional Services
Cloud A,Partner,Tom,Won,1/30/2020,Renewal,40000,Belgium,Professional Services
Cloud A,Partner,Sammy,Won,1/31/2019,New,40000,Belgium,Professional Services
Cloud A,Partner,Nancy,Proposal,7/4/2022,Renewal,40000,Belgium,Professional Services
On-Premise,Web,Sammy,Lost,11/30/2018,New,40000,Myanmar,Professional Services
Cloud B,Web,Tom,Lost,9/10/2020,New,40000,Canada,Professional Services
,Web,Nancy,Validation,6/30/2021,New,40000,Bermuda,Professional Services
,,Sammy,Lost,5/15/2017,New,40000,Turkey,Professional Services
,,Steve,Lost,12/18/2020,New,40000,United States,Professional Services
Cloud B,Web,Steve,Lost,4/26/2019,New,40000,United States,Professional Services
,Partner,Steve,Lost,12/25/2020,New,40000,United States,Professional Services
,,Susans,Lost,9/30/2016,Upsell,40000,United States,Professional Services
,,Susans,Lost,9/18/2015,Upsell,50000,United States,Professional Services
On-Premise,,Tom,Lost,9/1/2020,Renewal,50000,Denmark,Professional Services
,,Susans,Lost,12/30/2016,Upsell,50000,United States,Professional Services
On-Premise,,Sammy,Won,12/31/2018,New,50000,Denmark,Professional Services
Cloud A,,Dave,Lost,11/15/2019,New,50000,United States,Professional Services
Cloud C,,Dave,Lost,9/30/2020,New,50000,Netherlands,Professional Services
Cloud B,Partner,Steve,Lost,10/30/2020,Upsell,50000,Canada,Professional Services
Cloud B,Partner,Steve,Lost,12/27/2019,Upsell,50000,Canada,Professional Services
Cloud B,,Steve,Lost,11/20/2020,New,50000,Bermuda,Professional Services
On-Premise,,Susans,Lost,9/30/2020,New,50000,France,Professional Services
Cloud A,Web,Tom,Lost,5/29/2020,New,50000,United States,Professional Services
Cloud C,Partner,Tom,Lost,6/30/2020,New,50000,South Africa,Professional Services
Cloud B,Web,Tom,Lost,8/28/2020,New,50000,United States,Professional Services
,Web,Tom,Lost,10/9/2020,New,50000,United States,Professional Services
Cloud C,Partner,Dave,Lost,4/1/2022,New,50000,United States,Professional Services
,Web,Paul,Meeting,6/30/2022,New,50000,United States,Professional Services
,,Susans,Lost,12/18/2017,New,50000,United States,Professional Services
Cloud B,Partner,Susans,Lost,11/10/2020,New,50000,United States,Professional Services
,Web,Larry,Qualification,5/19/2022,New,75000,United States,Professional Services
,Partner,Paul,Validation,9/30/2022,New,75000,India,Professional Services
Cloud B,,Paul,Lost,3/31/2021,New,75000,United States,Professional Services
,,Susans,Lost,3/30/2018,New,75000,United States,Professional Services
On-Premise,Web,Greg,Won,2/25/2022,Renewal,75000,United States,Professional Services
On-Premise,Web,Greg,Proposal,3/15/2023,Renewal,75000,United States,Professional Services
On-Premise,,Paul,Proposal,10/31/2022,Renewal,75000,United States,Professional Services
On-Premise,,Tom,Won,10/29/2021,Renewal,75000,United States,Professional Services
,,Susans,Won,3/10/2018,Renewal,75000,United States,Professional Services
,,Susans,Won,8/9/2017,Renewal,75000,United States,Professional Services
,,Susans,Lost,3/10/2019,Renewal,75000,United States,Professional Services
On-Premise,Web,Mary,Qualification,6/30/2022,New,75000,United States,Professional Services
,,Susans,Lost,9/25/2015,Upsell,80000,United States,Professional Services
,Partner,Alex,Proposal,9/29/2022,Renewal,80000,Australia,Professional Services
,,Susans,Lost,3/30/2018,Upsell,80000,United States,Professional Services
,Web,Amy,Lost,3/31/2022,New,80000,United Kingdom,Professional Services
On-Premise,,Steve,Lost,10/23/2020,New,90000,United States,Professional Services
On-Premise,,Sammy,Won,11/2/2018,New,90000,United States,Professional Services
Cloud B,,Alex,Lost,12/30/2020,New,90000,United States,Professional Services
On-Premise,Web,Alex,Lost,5/30/2020,New,90000,Mongolia,Professional Services
Cloud C,,Dave,Lost,8/31/2020,New,90000,United States,Professional Services
,Web,Greg,Lost,6/30/2022,New,100000,Cyprus,Professional Services
,Web,Greg,Meeting,6/30/2022,Upsell,100000,United States,Professional Services
,Web,Greg,Lost,3/31/2022,New,100000,United States,Professional Services
,Web,Greg,Meeting,6/30/2022,New,100000,United States,Professional Services
,Web,Mary,Qualification,9/30/2022,New,100000,United States,Professional Services
Cloud A,,Steve,Lost,6/26/2020,New,100000,United States,Professional Services
,,Susans,Lost,3/30/2018,Upsell,100000,India,Professional Services
,Partner,Susans,Lost,9/30/2016,Upsell,100000,United Kingdom,Professional Services
Cloud C,,Susans,Lost,8/31/2020,New,100000,United States,Professional Services
On-Premise,,Susans,Lost,11/30/2018,Upsell,100000,United States,Professional Services
Cloud B,Web,Larry,Lost,6/29/2022,New,100000,Canada,Professional Services
Cloud B,Partner,Steve,Lost,6/26/2020,Upsell,100000,Canada,Professional Services
Cloud B,Partner,Steve,Won,2/19/2021,Renewal,100000,Canada,Professional Services
Cloud B,Partner,Steve,Won,3/19/2019,Renewal,100000,Canada,Professional Services
Cloud B,Partner,Steve,Won,2/13/2020,Renewal,100000,Canada,Professional Services
Cloud B,,Susans,Won,3/19/2018,New,100000,Canada,Professional Services
,Partner,Craig,Qualification,6/30/2022,New,100000,France,Professional Services
Cloud A,,Alex,Validation,6/29/2022,Upsell,100000,Australia,Professional Services
Cloud A,Partner,Mary,Validation,6/30/2022,New,100000,United States,Professional Services
,,Susans,Lost,6/29/2018,New,100000,United States,Professional Services
,Web,Joe,Lost,3/31/2022,New,150000,United States,Professional Services
Cloud B,Partner,Nancy,Won,2/21/2022,Renewal,150000,Canada,Professional Services
Cloud B,,Nancy,Proposal,2/28/2023,Renewal,150000,Canada,Professional Services
,Partner,Alex,Lost,1/28/2022,New,150000,"Korea, Republic of",Professional Services
,Partner,Alex,Qualification,5/27/2022,New,150000,Australia,Professional Services
,,Alex,Qualification,7/29/2022,New Contract with a Different End Date,150000,Australia,Professional Services
On-Premise,Web,Dave,Lost,7/31/2020,New,150000,United States,Professional Services
,,Susans,Lost,6/30/2016,,150000,United States,Professional Services
,,Susans,Lost,12/15/2017,New,150000,United States,Professional Services
Cloud B,,Nancy,Proposal,1/5/2023,Renewal,150000,Canada,Professional Services
Cloud B,Partner,Steve,Won,12/22/2021,Upsell,150000,Canada,Professional Services
,,Alex,Proposal,11/30/2022,Renewal,150000,Australia,Professional Services
On-Premise,Web,Larry,Proposal,6/30/2022,Renewal,150000,South Africa,Professional Services
On-Premise,Web,Tom,Won,6/10/2021,Renewal,150000,South Africa,Professional Services
,,Susans,Won,2/10/2016,Upsell,150000,United States,Professional Services
On-Premise,Partner,Susans,Lost,4/30/2019,New,200000,United States,Professional Services
Cloud B,,Nancy,Proposal,12/29/2022,Renewal,200000,United States,Professional Services
Cloud B,Partner,Steve,Won,12/9/2021,Renewal,200000,United States,Professional Services
,Partner,Steve,Lost,3/27/2020,Upsell,200000,Canada,Professional Services
,Partner,Alex,Meeting,3/31/2022,,200000,India,Professional Services
,Event,Ben,Meeting,12/31/2021,Upsell,1000,United States,Real Estate
,Web,Greg,Lost,12/31/2021,New,1000,United States,Real Estate
Cloud B,Partner,Alex,Won,11/8/2019,Renewal,20000,United Arab Emirates,Real Estate
Cloud B,Partner,Alex,Lost,11/27/2020,Renewal,20000,United Arab Emirates,Real Estate
Cloud B,Partner,Sammy,Won,11/12/2018,New,20000,United Arab Emirates,Real Estate
Cloud B,Partner,Alex,Lost,6/30/2020,Upsell,20000,United Arab Emirates,Real Estate
Cloud B,,Susans,Lost,3/31/2019,New,50000,United States,Real Estate
Cloud C,Partner,Susans,Lost,9/30/2020,New,75000,United States,Real Estate
,Web,Nancy,Validation,4/29/2022,New,75000,United States,Real Estate
Cloud A,,Susans,Lost,8/15/2019,Upsell,75000,United States,Real Estate
Cloud A,Partner,Joe,Qualification,9/30/2022,New,100000,United States,Real Estate
,Partner,Joe,Meeting,5/31/2022,New,200000,United States,Real Estate
,Web,Paul,Requalify,3/11/2022,New,1000,United States,Renewable Electricity
,,Susans,Lost,2/23/2018,Upsell,1000,United States,Renewable Electricity
Cloud C,,Alex,Won,8/12/2021,New,1000,Australia,Retailing
,Partner,Alex,Won,12/28/2020,New,1000,Singapore,Retailing
Cloud C,Partner,Alex,Won,3/31/2021,New,1000,Singapore,Retailing
,Web,Charlie,Requalify,4/30/2021,New,1000,United States,Retailing
,,Craig,Won,1/27/2022,New,1000,United States,Retailing
,,Craig,Won,9/22/2021,Upsell,1000,United States,Retailing
,Web,Dave,Lost,7/1/2021,New,1000,Netherlands,Retailing
,Partner,Dave,Lost,12/31/2021,New,1000,Netherlands,Retailing
,,Dave,Lost,7/1/2022,New,1000,United States,Retailing
,Partner,Dave,Lost,1/8/2021,New,1000,United States,Retailing
,Web,Dave,Lost,4/1/2022,New,1000,France,Retailing
Cloud C,,Fred,Lost,12/31/2020,Partnership,1000,United States,Retailing
,Partner,Greg,Lost,12/31/2021,New,1000,United States,Retailing
,Partner,Larry,Meeting,5/31/2022,New,1000,United States,Retailing
Cloud C,,Paul,Lost,12/30/2021,New,1000,United States,Retailing
On-Premise,,Paul,Lost,7/22/2021,New,1000,United States,Retailing
,Web,Paul,Lost,3/1/2021,New,1000,United States,Retailing
,,Paul,Requalify,7/18/2019,New,1000,United States,Retailing
On-Premise,,Paul,Lost,4/26/2021,New,1000,Canada,Retailing
On-Premise,Partner,Sammy,Lost,6/30/2019,New,1000,Netherlands,Retailing
Cloud B,Partner,Sammy,Lost,12/31/2018,New,1000,United Kingdom,Retailing
,Web,Steve,Lost,5/7/2021,New,1000,Canada,Retailing
,Web,Steve,Requalify,2/28/2022,New,1000,United Kingdom,Retailing
Cloud C,,Steve,Lost,7/16/2021,New,1000,Canada,Retailing
,,Susans,Lost,12/31/2016,Upsell,1000,United States,Retailing
,,Susans,Lost,12/31/2018,New,1000,United States,Retailing
On-Premise,,Susans,Lost,12/31/2018,New,1000,United States,Retailing
,,Susans,Lost,3/31/2018,New,1000,United States,Retailing
On-Premise,,Susans,Lost,7/27/2018,New,1000,United States,Retailing
On-Premise,,Susans,Lost,6/22/2018,New,1000,United States,Retailing
,,Susans,Lost,8/31/2018,New,1000,United States,Retailing
,,Susans,Lost,2/28/2017,New,1000,United States,Retailing
,,Susans,Lost,6/30/2016,Upsell,1000,United States,Retailing
,,Susans,Lost,12/30/2016,Upsell,1000,United States,Retailing
,Partner,Susans,Lost,12/31/2018,New,1000,United States,Retailing
,Web,Tom,Lost,10/20/2021,New,1000,France,Retailing
On-Premise,Web,Tom,Requalify,11/11/2021,New,1000,Brazil,Retailing
Cloud C,Partner,Tom,Won,6/17/2021,New,1000,Mexico,Retailing
Cloud C,Partner,Tom,Lost,10/11/2021,Upsell,1000,Mexico,Retailing
,Partner,Dave,Won,6/24/2021,Upsell,2000,United States,Retailing
Cloud C,,Alex,Proposal,2/14/2023,Renewal,10000,Australia,Retailing
Cloud B,Web,Paul,Won,7/31/2021,Upsell,20000,United States,Retailing
Cloud C,,Alex,Won,2/15/2022,Renewal,20000,Australia,Retailing
,Partner,Dave,Won,10/6/2021,Renewal,20000,United States,Retailing
,,Larry,Proposal,10/6/2022,Renewal,20000,United States,Retailing
On-Premise,,Dave,Won,12/31/2020,Upsell,20000,United States,Retailing
,Web,Paul,Won,8/20/2021,Upsell,20000,United States,Retailing
,,Susans,Won,6/18/2020,Upsell,20000,United States,Retailing
Cloud B,,Susans,Lost,3/4/2020,Renewal,40000,United States,Retailing
,,Susans,Lost,6/30/2016,Upsell,40000,United States,Retailing
,Partner,Alex,Lost,12/31/2021,Upsell,50000,Singapore,Retailing
Cloud C,Web,Susans,Lost,6/30/2020,New,50000,Portugal,Retailing
Cloud C,,Tom,Requalify,12/30/2020,New,50000,Mexico,Retailing
Cloud B,,Susans,Won,3/4/2019,New,50000,United States,Retailing
Cloud C,Partner,Alex,Proposal,4/9/2022,Renewal,50000,Singapore,Retailing
,Partner,Dave,Lost,10/6/2021,Upsell,75000,United States,Retailing
Cloud C,Partner,Dave,Lost,1/26/2021,Upsell,75000,United States,Retailing
Cloud B,Web,Craig,Proposal,9/28/2022,Renewal,75000,United States,Retailing
Cloud B,Web,Craig,Won,9/30/2021,New,75000,United States,Retailing
Cloud B,,Dave,Won,3/18/2021,Renewal,75000,United States,Retailing
Cloud B,,Susans,Won,3/31/2020,New,75000,United States,Retailing
,Web,Larry,Meeting,6/30/2022,New,75000,Norway,Retailing
Cloud B,,Steve,Lost,8/28/2020,New,80000,United States,Retailing
,,Susans,Lost,9/25/2015,Upsell,80000,United States,Retailing
Cloud C,,Craig,Won,1/31/2022,Upsell,80000,United States,Retailing
On-Premise,,Dave,Won,12/9/2020,Upsell,80000,United States,Retailing
,,Alex,Won,2/16/2022,Upsell,80000,Australia,Retailing
,,Craig,Validation,4/30/2022,Upsell,80000,United States,Retailing
Cloud B,,Dave,Lost,4/30/2020,New,80000,United States,Retailing
,Web,Craig,Proposal,2/7/2022,Upsell,90000,Canada,Retailing
Cloud B,Web,Tom,Lost,12/13/2019,New,90000,United States,Retailing
Cloud C,,Ben,Requalify,10/10/2021,New,90000,United States,Retailing
Cloud C,Partner,Dave,Lost,8/16/2019,Upsell,90000,United States,Retailing
Cloud C,Partner,Dave,Lost,1/8/2021,New,100000,France,Retailing
,Web,Greg,Meeting,6/30/2022,New,100000,United States,Retailing
Cloud B,Web,Larry,Validation,4/21/2022,New,100000,United States,Retailing
,Partner,Larry,Validation,4/6/2022,New,100000,United States,Retailing
Cloud B,Partner,Paul,Lost,4/13/2020,New,100000,United States,Retailing
Cloud B,,Susans,Lost,6/30/2020,New,100000,United Kingdom,Retailing
,,Susans,Lost,5/31/2017,Upsell,100000,United States,Retailing
,,Susans,Lost,4/18/2014,Upsell,100000,United States,Retailing
,,Susans,Lost,6/30/2015,Upsell,100000,United States,Retailing
,,Susans,Lost,4/18/2014,Upsell,100000,United States,Retailing
,Partner,Susans,Lost,10/29/2015,Upsell,100000,United States,Retailing
,,Tom,Lost,9/25/2015,Upsell,100000,United States,Retailing
Cloud C,Partner,Dave,Won,1/21/2020,Upsell,100000,United States,Retailing
Cloud C,Partner,Dave,Won,10/6/2021,Renewal,100000,United States,Retailing
Cloud C,Partner,Dave,Won,9/30/2020,Renewal,100000,United States,Retailing
Cloud C,,Larry,Proposal,10/6/2022,Renewal,100000,United States,Retailing
Cloud C,Partner,Paul,Proposal,3/31/2022,New,100000,Spain,Retailing
On-Premise,Web,Dave,Lost,2/12/2021,New,100000,United States,Retailing
On-Premise,Event,Dave,Lost,8/23/2021,New,100000,United States,Retailing
On-Premise,Event,Mary,Lost,6/29/2022,New,100000,United States,Retailing
On-Premise,,Dave,Lost,7/31/2020,New,150000,United States,Retailing
,,Susans,Lost,9/30/2016,Upsell,150000,United States,Retailing
Cloud C,Partner,Joe,Validation,6/25/2022,Renewal,150000,Mexico,Retailing
,,Craig,Proposal,9/20/2024,Renewal,150000,Canada,Retailing
,Web,Paul,Won,9/20/2021,New,150000,Canada,Retailing
,Partner,Steve,Lost,12/11/2020,New,150000,United Kingdom,Retailing
On-Premise,,Dave,Won,12/13/2021,Renewal,150000,United States,Retailing
Cloud C,Partner,Dave,Won,10/6/2021,Renewal,150000,United States,Retailing
Cloud C,Partner,Dave,Won,9/30/2020,Renewal,150000,United States,Retailing
Cloud C,,Larry,Proposal,10/6/2022,Renewal,150000,United States,Retailing
On-Premise,Partner,Dave,Lost,7/8/2021,New,150000,United States,Retailing
On-Premise,,Ed,Proposal,5/16/2022,Upsell,150000,United States,Retailing
,Partner,Paul,Meeting,9/30/2022,New,150000,France,Retailing
,Web,Steve,Lost,1/31/2022,New,150000,United States,Retailing
Cloud B,,Ed,Proposal,12/31/2022,Renewal,150000,United States,Retailing
Cloud C,Event,Dave,Won,10/4/2019,New,150000,United States,Retailing
Cloud C,,Paul,Won,2/25/2021,New,200000,United States,Retailing
,,Craig,Meeting,11/30/2022,Upsell,200000,Canada,Retailing
Cloud C,,Craig,Proposal,3/1/2024,Renewal,200000,United States,Retailing
On-Premise,Web,Craig,Won,11/17/2021,Upsell,200000,United States,Retailing
On-Premise,,Craig,Proposal,1/31/2023,Renewal,200000,United States,Retailing
On-Premise,,Dave,Lost,12/31/2021,New,150000,United States,Specialty Retail
,Web,Alex,Proposal,3/30/2022,Upsell,1000,"Korea, Republic of","Technology Hardware, Storage & Peripherals"
On-Premise,Web,Charlie,Requalify,3/1/2021,New,1000,United States,"Technology Hardware, Storage & Peripherals"
,,Sammy,Lost,12/31/2016,New,1000,United States,"Technology Hardware, Storage & Peripherals"
,Web,Alex,Proposal,3/31/2022,Renewal,20000,"Korea, Republic of","Technology Hardware, Storage & Peripherals"
,Web,Sammy,Lost,2/25/2020,Renewal,20000,"Korea, Republic of","Technology Hardware, Storage & Peripherals"
Cloud B,,Mike,Validation,12/30/2022,New,50000,United States,"Technology Hardware, Storage & Peripherals"
,Web,Sammy,Won,2/26/2019,New,100000,"Korea, Republic of","Technology Hardware, Storage & Peripherals"
,,Susans,Lost,12/30/2016,Upsell,150000,United States,"Technology Hardware, Storage & Peripherals"
,,Susans,Lost,9/30/2017,Upsell,200000,United States,"Technology Hardware, Storage & Peripherals"
Cloud C,Partner,Craig,Meeting,12/31/2021,New,1000,United States,"Textiles, Apparel & Luxury Goods"
,Web,Dave,Lost,4/1/2022,New,1000,United States,"Textiles, Apparel & Luxury Goods"
Cloud C,Partner,Dave,Lost,1/31/2022,New,1000,Switzerland,"Textiles, Apparel & Luxury Goods"
,,Susans,Lost,12/30/2016,Upsell,1000,United States,"Textiles, Apparel & Luxury Goods"
,,Susans,Lost,2/28/2017,New,40000,United States,"Textiles, Apparel & Luxury Goods"
Cloud C,,Susans,Lost,6/30/2020,New,50000,France,"Textiles, Apparel & Luxury Goods"
Cloud B,,Susans,Lost,12/21/2018,New,100000,United States,"Textiles, Apparel & Luxury Goods"
Cloud B,Web,Tom,Lost,8/2/2021,Renewal,1000,United States,Trading Companies & Distributors
Cloud B,Web,Tom,Won,8/7/2019,New,40000,United States,Trading Companies & Distributors
Cloud B,Web,Tom,Won,7/8/2020,Renewal,50000,United States,Trading Companies & Distributors
,Web,Charlie,Lost,11/20/2020,New,1000,Canada,Transportation
On-Premise,Web,Dave,Lost,4/1/2022,New,1000,Portugal,Transportation
,,Dave,Lost,4/9/2018,New,1000,United States,Transportation
Cloud B,Web,Tom,Requalify,12/30/2021,New,1000,United States,Transportation
Cloud B,Partner,Susans,Won,6/15/2020,New,10000,Austria,Transportation
Cloud B,Partner,Dave,Won,10/28/2020,Upsell,10000,Austria,Transportation
Cloud B,Partner,Dave,Won,10/25/2019,New,40000,United States,Transportation
Cloud B,Partner,Dave,Won,10/22/2021,Renewal,40000,United States,Transportation
Cloud B,Partner,Dave,Won,11/30/2020,Renewal,40000,United States,Transportation
Cloud B,,Paul,Proposal,10/24/2022,Renewal,40000,United States,Transportation
,Seller,Amy,Meeting,3/31/2022,New,50000,United States,Transportation
,Partner,Paul,Won,2/17/2022,Renewal,50000,Austria,Transportation
,,Susans,Lost,3/15/2015,Upsell,100000,United States,Transportation
,Partner,Dave,Won,11/16/2020,New,150000,Austria,Transportation
,,Paul,Proposal,5/31/2022,Renewal,150000,Austria,Transportation
Cloud B,,Susans,Lost,12/31/2018,New,1000,Canada,Utilities
,Partner,Susans,Lost,6/30/2017,Upsell,1000,United States,Utilities
Cloud B,Web,Tom,Requalify,3/30/2022,New,1000,United States,Utilities
,Web,Tom,Lost,10/2/2020,New,50000,Chile,Utilities
,Partner,Greg,Validation,4/29/2022,New,100000,United States,Utilities
Cloud B,Partner,Steve,Lost,5/29/2020,New,100000,United States,Utilities
Cloud B,Web,Tom,Lost,11/29/2019,New,100000,Australia,Utilities
,Partner,Dave,Requalify,2/28/2022,New,100000,Italy,Utilities
,,Susans,Lost,11/27/2015,,100000,United States,Utilities
,,Susans,Lost,6/30/2016,Upsell,150000,United States,Utilities
,Web,Amy,Validation,12/30/2022,New,150000,United States,Utilities
,Partner,Greg,Validation,6/30/2022,New,150000,United Kingdom,Utilities
Cloud B,Web,Greg,Proposal,3/15/2022,New,200000,United Kingdom,Utilities
,Web,Greg,Meeting,3/31/2022,,200000,United Kingdom,Utilities
,Web,Alex,Lost,9/17/2021,New,1000,Vietnam,
On-Premise,,Dave,Lost,5/7/2021,New,1000,United States,
,Event,Dave,Won,4/30/2021,Upsell,1000,United States,
,,Dave,Won,6/28/2021,Upsell,1000,United States,
,Web,Dave,Lost,8/25/2020,New,1000,United States,
On-Premise,Web,Fred,Lost,1/7/2021,Partnership,1000,United States,
,Partner,Fred,Lost,10/30/2016,Partnership,1000,Japan,
,Web,Greg,Requalify,8/25/2021,New,1000,United States,
,Web,Paul,Requalify,5/7/2021,New,1000,Canada,
,Web,Sammy,Won,8/30/2018,Renewal,1000,Russia,
,Web,Steve,Lost,3/19/2021,New,1000,United States,
,Web,Steve,Lost,9/24/2021,New,1000,Canada,
,,Susans,Lost,12/30/2016,Upsell,1000,Canada,
,,Susans,Lost,6/30/2017,Upsell,1000,United States,
,,Susans,Lost,6/30/2016,Upsell,1000,United States,
On-Premise,,Susans,Lost,8/1/2018,New,1000,Australia,
,Web,Susans,Requalify,4/13/2017,Partnership,1000,Russia,
,,Susans,Lost,3/30/2018,Upsell,1000,United States,
On-Premise,,Susans,Lost,12/30/2016,Upsell,1000,United States,
,,Susans,Lost,9/15/2017,Upsell,1000,United States,
,,Tom,Lost,12/31/2018,New,1000,United States,
On-Premise,Web,Tom,Requalify,4/2/2021,New,1000,United Kingdom,
,Web,Tom,Lost,3/15/2021,New,1000,Canada,
Cloud B,Partner,Tom,Lost,5/10/2021,New,1000,Chile,
,Event,Tom,Lost,7/1/2021,New,1000,United States,
,Web,Sammy,Requalify,9/30/2020,Renewal,2000,Russia,
,Web,Sammy,Requalify,7/21/2020,Renewal,2000,Russia,
On-Premise,Partner,Fred,Won,11/17/2020,Upsell,2000,Japan,
On-Premise,Partner,Fred,Won,12/7/2020,Upsell,2000,Japan,
On-Premise,Partner,Fred,Won,1/7/2021,Upsell,2000,Japan,
On-Premise,Partner,Fred,Won,3/8/2021,Upsell,2000,Japan,
,,Sammy,Proposal,3/14/2021,Renewal,8000,"Korea, Republic of",
,,Sammy,Lost,3/14/2020,Renewal,8000,"Korea, Republic of",
,,Susans,Lost,4/26/2019,Upsell,8000,Canada,
,Web,Sammy,Proposal,12/22/2020,Renewal,8000,Russia,
Cloud B,,Susans,Won,10/16/2018,New,10000,Canada,
On-Premise,,Dave,Won,3/6/2020,Upsell,10000,United States,
,Partner,Fred,Won,7/16/2020,Upsell,10000,Japan,
,,Dave,Won,12/28/2021,Upsell,20000,United States,
Cloud C,Partner,Alex,Lost,9/30/2019,Upsell,20000,United States,
On-Premise,,Paul,Proposal,3/31/2022,Renewal,40000,United States,
